Disease	TSS
BLCA	DK
BLCA	CU
BLCA	BT
BLCA	C4
BLCA	BL
BLCA	CF
BLCA	G2
BLCA	H4
BLCA	GD
BLCA	FD
BLCA	HQ
BLCA	E5
BLCA	FT
BLCA	GV
BLCA	GC
BLCA	E7
BLCA	K4
BLCA	FJ
BLCA	GU
BRCA	A2
BRCA	LQ
BRCA	A7S
BRCA	E9
BRCA	MS
BRCA	D8
BRCA	AQ
BRCA	GM
BRCA	LL
BRCA	BH
BRCA	EW
BRCA	B6
BRCA	JL
BRCA	AC
BRCA	AR
BRCA	E2
BRCA	C8
BRCA	GI
BRCA	HN
BRCA	AN
BRCA	AO
BRCA	A8
BRCA	A1
CESC	C5
CESC	EA
CESC	DS
CESC	BI
CESC	DR
CESC	EX
CESC	FU
CESC	DG
CESC	EK
CESC	IR
CESC	HG
CESC	JX
CESC	HM
CESC	LP
CNTL	07
CNTL	AV
COAD	A6
COAD	DM
COAD	D5
COAD	AD
COAD	F4
COAD	G4
COAD	CA
COAD	AZ
COAD	CK
COAD	CM
COAD	AA
COAD	AU
COAD	AY
COAD	AM
DLBC	FA
DLBC	G8
DLBC	FM
DLBC	FF
DLBC	GR
DLBC	GS
DLBC	GZ
ESCA	IG
ESCA	L5
ESCA	LN
ESCA	L7
GBM	12
GBM	19
GBM	76
GBM	14
GBM	06
GBM	74
GBM	28
GBM	26
GBM	41
GBM	81
GBM	08
GBM	02
GBM	32
GBM	27
GBM	15
GBM	16
GBM	87
HNSC	CV
HNSC	F7
HNSC	BA
HNSC	MT
HNSC	CQ
HNSC	D6
HNSC	CX
HNSC	CN
HNSC	C9
HNSC	HD
HNSC	H7
HNSC	BB
HNSC	DQ
HNSC	HL
HNSC	CR
HNSC	IQ
KICH	KO
KICH	KL
KICH	KM
KICH	KN
KIRC	MM
KIRC	DV
KIRC	B8
KIRC	MW
KIRC	B2
KIRC	CZ
KIRC	CW
KIRC	B0
KIRC	CJ
KIRC	B4
KIRC	EU
KIRC	BP
KIRC	AK
KIRC	A3
KIRC	AS
KIRP	BQ
KIRP	B9
KIRP	B3
KIRP	DW
KIRP	EV
KIRP	B1
KIRP	AL
KIRP	G7
KIRP	DZ
KIRP	HE
KIRP	GL
KIRP	A4
KIRP	J7
KIRP	IZ
KIRP	IA
KIRP	F9
LAML	AB
LGG	DB
LGG	E1
LGG	DH
LGG	DU
LGG	CS
LGG	FG
LGG	HT
LGG	HW
LGG	EZ
LGG	IK
LGG	FN
LIHC	DD
LIHC	CC
LIHC	BC
LIHC	EP
LIHC	G3
LIHC	FV
LIHC	ES
LIHC	BD
LIHC	ED
LIHC	MR
LUAD	MP
LUAD	95
LUAD	NJ
LUAD	93
LUAD	97
LUAD	86
LUAD	MN
LUAD	55
LUAD	44
LUAD	L4
LUAD	53
LUAD	O1
LUAD	69
LUAD	62
LUAD	91
LUAD	J2
LUAD	38
LUAD	L9
LUAD	78
LUAD	71
LUAD	50
LUAD	99
LUAD	73
LUAD	83
LUAD	17
LUAD	64
LUAD	35
LUAD	75
LUAD	80
LUAD	49
LUAD	05
LUAD	67
LUSC	39
LUSC	66
LUSC	22
LUSC	18
LUSC	37
LUSC	60
LUSC	43
LUSC	21
LUSC	33
LUSC	63
LUSC	46
LUSC	34
LUSC	56
LUSC	51
LUSC	70
LUSC	J1
LUSC	85
LUSC	94
LUSC	79
LUSC	77
LUSC	90
LUSC	92
LUSC	98
LUSC	96
LUSC	52
LUSC	68
LUSC	58
LUSC	L3
LUSC	LA
LUSC	MF
LUSC	O2
OV	24
OV	01
OV	30
OV	04
OV	36
OV	29
OV	25
OV	13
OV	61
OV	23
OV	59
OV	09
OV	72
OV	20
OV	31
OV	42
OV	57
OV	10
PAAD	FZ
PAAD	FQ
PAAD	IB
PAAD	F2
PAAD	HZ
PAAD	H6
PRAD	KC
PRAD	EJ
PRAD	HC
PRAD	FC
PRAD	G9
PRAD	J4
PRAD	H9
PRAD	HI
PRAD	CH
READ	AF
READ	DC
READ	F5
READ	EI
READ	AH
READ	CI
READ	DT
READ	G5
READ	AG
READ	CL
READ	BM
READ	DY
READ	EF
SARC	IS
SARC	IW
SARC	K1
SARC	DX
SARC	FX
SARC	HB
SARC	IE
SARC	IF
SARC	MO
SARC	KF
SKCM	ER
SKCM	EE
SKCM	D3
SKCM	GN
SKCM	FS
SKCM	D9
SKCM	BF
SKCM	DA
SKCM	EB
SKCM	GF
SKCM	HR
SKCM	IH
SKCM	FW
SKCM	FR
STAD	EQ
STAD	BR
STAD	HU
STAD	D7
STAD	CD
STAD	IN
STAD	FP
STAD	IP
STAD	HJ
STAD	HF
STAD	F1
STAD	CG
STAD	B7
THCA	EM
THCA	EL
THCA	L6
THCA	KS
THCA	DJ
THCA	DE
THCA	MK
THCA	ET
THCA	BJ
THCA	FK
THCA	IM
THCA	J8
THCA	E8
THCA	CE
THCA	FY
THCA	H2
THCA	DO
THCA	FE
THCA	E3
THCA	GE
UCEC	KP
UCEC	FI
UCEC	FL
UCEC	K6
UCEC	KJ
UCEC	EY
UCEC	EO
UCEC	AJ
UCEC	D1
UCEC	AX
UCEC	B5
UCEC	A5
UCEC	BK
UCEC	BG
UCEC	AP
UCEC	DF
UCEC	DI
UCEC	E6
UCEC	H5
UCEC	EC
UCEC	AW
UCEC	BS
